name,level,stamina,ev,with_captain,scc,source_revision,source_path
Elemental Mote,1,3,3 for four minions,+2 bonus to speed,mcdm.monsters.v1/monster.elf-high.statblock/elemental-mote,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/elf-high/statblock/elemental-mote.md
Ensnarer,1,5,3 for four minions,+2 bonus to melee distance,mcdm.monsters.v1/monster.demon.1st-echelon.statblock/ensnarer,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/demon/1st-echelon/statblock/ensnarer.md
Frenzied,1,4,3 for four minions,+2 bonus to speed,mcdm.monsters.v1/monster.demon.1st-echelon.statblock/frenzied,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/demon/1st-echelon/statblock/frenzied.md
Goblin Runner,1,4,3 for four minions,Gain an edge on strikes,mcdm.monsters.v1/monster.goblin.statblock/goblin-runner,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/goblin/statblock/goblin-runner.md
Goblin Sniper,1,3,3 for four minions,+5 bonus to ranged distance,mcdm.monsters.v1/monster.goblin.statblock/goblin-sniper,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/goblin/statblock/goblin-sniper.md
Goblin Spinecleaver,1,5,3 for four minions,+1 damage bonus to strikes,mcdm.monsters.v1/monster.goblin.statblock/goblin-spinecleaver,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/goblin/statblock/goblin-spinecleaver.md
High Elf Dawn Mage,1,3,3 for four minions,+5 bonus to ranged distance,mcdm.monsters.v1/monster.elf-high.statblock/high-elf-dawn-mage,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/elf-high/statblock/high-elf-dawn-mage.md
High Elf Quiver,1,3,3 for four minions,+5 bonus to ranged distance,mcdm.monsters.v1/monster.elf-high.statblock/high-elf-quiver,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/elf-high/statblock/high-elf-quiver.md
Human Archer,1,3,3 for four minions,+5 bonus to ranged distance,mcdm.monsters.v1/monster.human.statblock/human-archer,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/human/statblock/human-archer.md
Human Death Acolyte,1,3,3 for four minions,+5 bonus to ranged distance,mcdm.monsters.v1/monster.human.statblock/human-death-acolyte,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/human/statblock/human-death-acolyte.md
Human Guard,1,5,3 for four minions,+2 bonus to speed,mcdm.monsters.v1/monster.human.statblock/human-guard,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/human/statblock/human-guard.md
Human Raider,1,4,3 for four minions,Gain an edge on strikes,mcdm.monsters.v1/monster.human.statblock/human-raider,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/human/statblock/human-raider.md
Human Rogue,1,4,3 for four minions,Gain an edge on strikes,mcdm.monsters.v1/monster.human.statblock/human-rogue,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/human/statblock/human-rogue.md
Kobold Princeps,1,4,3 for four minions,+2 bonus to Stamina,mcdm.monsters.v1/monster.kobold.statblock/kobold-princeps,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/kobold/statblock/kobold-princeps.md
Kobold Sagittarion,1,3,3 for four minions,+5 bonus to ranged distance,mcdm.monsters.v1/monster.kobold.statblock/kobold-sagittarion,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/kobold/statblock/kobold-sagittarion.md
Kobold Tiro,1,5,3 for four minions,+1 bonus to speed,mcdm.monsters.v1/monster.kobold.statblock/kobold-tiro,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/kobold/statblock/kobold-tiro.md
Kobold Veles,1,4,3 for four minions,+1 bonus to speed,mcdm.monsters.v1/monster.kobold.statblock/kobold-veles,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/kobold/statblock/kobold-veles.md
Lizardfolk Grunt,1,4,3 for four minions,+2 bonus to speed,mcdm.monsters.v1/monster.lizardfolk.statblock/lizardfolk-grunt,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/lizardfolk/statblock/lizardfolk-grunt.md
Lizardfolk Shellguard,1,6,3 for four minions,+2 bonus to Stamina,mcdm.monsters.v1/monster.lizardfolk.statblock/lizardfolk-shellguard,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/lizardfolk/statblock/lizardfolk-shellguard.md
Lizardfolk Tonguer,1,3,3 for four minions,+1 bonus to strikes,mcdm.monsters.v1/monster.lizardfolk.statblock/lizardfolk-tonguer,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/lizardfolk/statblock/lizardfolk-tonguer.md
Mohler,1,4,3 for four minions,+2 bonus to speed,mcdm.monsters.v1/monster.orc.statblock/mohler,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/orc/statblock/mohler.md
Orc Blitzer,1,4,3 for four minions,+2 bonus to speed,mcdm.monsters.v1/monster.orc.statblock/orc-blitzer,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/orc/statblock/orc-blitzer.md
Orc Bloodspark,1,3,3 for four minions,+2 bonus to forced movement distance,mcdm.monsters.v1/monster.orc.statblock/orc-bloodspark,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/orc/statblock/orc-bloodspark.md
Orc Glorifier,1,3,3 for four minions,+5 bonus to ranged distance,mcdm.monsters.v1/monster.orc.statblock/orc-glorifier,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/orc/statblock/orc-glorifier.md
Orc Razor,1,5,3 for four minions,+1 damage bonus to strikes,mcdm.monsters.v1/monster.orc.statblock/orc-razor,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/orc/statblock/orc-razor.md
Pitling,1,3,3 for four minions,+2 bonus to speed,mcdm.monsters.v1/monster.demon.1st-echelon.statblock/pitling,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/demon/1st-echelon/statblock/pitling.md
Radenwight Mischiever,1,4,3 for 4 minions,+1 damage bonus to strikes,mcdm.monsters.v1/monster.radenwight.statblock/radenwight-mischiever,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/radenwight/statblock/radenwight-mischiever.md
Radenwight Redeye,1,3,3 for 4 minions,Gain an edge on strikes,mcdm.monsters.v1/monster.radenwight.statblock/radenwight-redeye,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/radenwight/statblock/radenwight-redeye.md
Radenwight Scrapper,1,5,3 for 4 minions,+2 bonus to melee distance,mcdm.monsters.v1/monster.radenwight.statblock/radenwight-scrapper,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/radenwight/statblock/radenwight-scrapper.md
Radenwight Swiftpaw,1,4,3 for 4 minions,Gain an edge on strikes,mcdm.monsters.v1/monster.radenwight.statblock/radenwight-swiftpaw,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/radenwight/statblock/radenwight-swiftpaw.md
Rotting Zombie,1,5,3 for four minions,+1 damage bonus to strikes,mcdm.monsters.v1/monster.undead.1st-echelon.statblock/rotting-zombie,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/undead/1st-echelon/statblock/rotting-zombie.md
Shade,1,4,3 for four minions,+2 bonus to speed,mcdm.monsters.v1/monster.undead.1st-echelon.statblock/shade,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/undead/1st-echelon/statblock/shade.md
Skitterling,1,3,3 for four minions,+3 bonus to speed,mcdm.monsters.v1/monster.goblin.statblock/skitterling,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/goblin/statblock/skitterling.md
Soot Crow,1,4,3 for four minions,Gain an edge on strikes,mcdm.monsters.v1/monster.elf-high.statblock/soot-crow,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/elf-high/statblock/soot-crow.md
War Dog Commando,1,4,3 for four minions,+1 damage bonus to strikes,mcdm.monsters.v1/monster.war-dog.1st-echelon.statblock/war-dog-commando,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/war-dog/1st-echelon/statblock/war-dog-commando.md
War Dog Conscript,1,4,3 for four minions,+1 damage bonus to strikes,mcdm.monsters.v1/monster.war-dog.1st-echelon.statblock/war-dog-conscript,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/war-dog/1st-echelon/statblock/war-dog-conscript.md
War Dog Sharpshooter,1,3,3 for four minions,+5 bonus to ranged distance,mcdm.monsters.v1/monster.war-dog.1st-echelon.statblock/war-dog-sharpshooter,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/war-dog/1st-echelon/statblock/war-dog-sharpshooter.md
War Dog Tetherite,1,5,3 for four minions,Gain an edge on strikes,mcdm.monsters.v1/monster.war-dog.1st-echelon.statblock/war-dog-tetherite,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/war-dog/1st-echelon/statblock/war-dog-tetherite.md
Wode Elf Lookout,1,4,3 for four minions,+2 bonus to speed,mcdm.monsters.v1/monster.elf-wode.statblock/wode-elf-lookout,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/elf-wode/statblock/wode-elf-lookout.md
Wode Elf Runner,1,4,3 for four minions,Gain an edge on strikes,mcdm.monsters.v1/monster.elf-wode.statblock/wode-elf-runner,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/elf-wode/statblock/wode-elf-runner.md
Wode Elf Scout,1,4,3 for four minions,Gain an edge on strikes,mcdm.monsters.v1/monster.elf-wode.statblock/wode-elf-scout,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/elf-wode/statblock/wode-elf-scout.md
Wode Elf Yeoman,1,3,3 for four minions,+1 damage bonus to strikes,mcdm.monsters.v1/monster.elf-wode.statblock/wode-elf-yeoman,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/elf-wode/statblock/wode-elf-yeoman.md
Abyssal Hyena,2,7,4 for four minions,+2 bonus to speed,mcdm.monsters.v1/monster.gnoll.statblock/abyssal-hyena,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/gnoll/statblock/abyssal-hyena.md
Gnoll Chainflail,2,4,4 for four minions,+1 damage bonus to strikes,mcdm.monsters.v1/monster.gnoll.statblock/gnoll-chainflail,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/gnoll/statblock/gnoll-chainflail.md
Gnoll Mage Mauler,2,4,4 for four minions,+2 bonus to melee distance,mcdm.monsters.v1/monster.gnoll.statblock/gnoll-mage-mauler,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/gnoll/statblock/gnoll-mage-mauler.md
Gnoll Wildling,2,5,4 for four minions,Gain an edge on strikes,mcdm.monsters.v1/monster.gnoll.statblock/gnoll-wildling,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/gnoll/statblock/gnoll-wildling.md
Human Apprentice Mage,2,4,4 for four minions,+5 bonus to ranged distance,mcdm.monsters.v1/monster.human.statblock/human-apprentice-mage,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/human/statblock/human-apprentice-mage.md
Time Raider Archon,3,7,5 for four minions,+1 damage bonus to strikes,mcdm.monsters.v1/monster.time-raider.statblock/time-raider-archon,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/time-raider/statblock/time-raider-archon.md
Time Raider Myriad,3,8,5 for four minions,+1 damage bonus to strikes,mcdm.monsters.v1/monster.time-raider.statblock/time-raider-myriad,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/time-raider/statblock/time-raider-myriad.md
Fleshflayed Shambler Zombie,4,9,6 for four minions,+2 damage bonus to strikes,mcdm.monsters.v1/monster.undead.2nd-echelon.statblock/fleshflayed-shambler-zombie,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/undead/2nd-echelon/statblock/fleshflayed-shambler-zombie.md
Ghoul Craver,4,8,6 for four minions,+2 damage bonus to strikes,mcdm.monsters.v1/monster.undead.2nd-echelon.statblock/ghoul-craver,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/undead/2nd-echelon/statblock/ghoul-craver.md
Grilp,4,8,6 for four minions,+2 bonus to speed,mcdm.monsters.v1/monster.hobgoblin.statblock/grilp,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/hobgoblin/statblock/grilp.md
Grulqin,4,9,6 for four minions,+2 damage bonus to strikes,mcdm.monsters.v1/monster.demon.2nd-echelon.statblock/grulqin,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/demon/2nd-echelon/statblock/grulqin.md
Hobgoblin Brandbearer,4,7,6 for four minions,Gain an edge on strikes,mcdm.monsters.v1/monster.hobgoblin.statblock/hobgoblin-brandbearer,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/hobgoblin/statblock/hobgoblin-brandbearer.md
Hobgoblin Lancer,4,8,6 for four minions,+2 damage bonus to strikes,mcdm.monsters.v1/monster.hobgoblin.statblock/hobgoblin-lancer,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/hobgoblin/statblock/hobgoblin-lancer.md
Hobgoblin Recruit,4,9,6 for four minions,+4 bonus to Stamina,mcdm.monsters.v1/monster.hobgoblin.statblock/hobgoblin-recruit,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/hobgoblin/statblock/hobgoblin-recruit.md
Hollowbone Launcher,4,7,6 for four minions,+5 bonus to ranged distance,mcdm.monsters.v1/monster.undead.2nd-echelon.statblock/hollowbone-launcher,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/undead/2nd-echelon/statblock/hollowbone-launcher.md
Orliq,4,8,6 for four minions,+2 bonus to speed,mcdm.monsters.v1/monster.demon.2nd-echelon.statblock/orliq,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/demon/2nd-echelon/statblock/orliq.md
Shadow Elf Cloak,4,8,6 for four minions,+2 bonus to speed,mcdm.monsters.v1/monster.elf-shadow.statblock/shadow-elf-cloak,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/elf-shadow/statblock/shadow-elf-cloak.md
Shadow Elf Dusk Mage,4,7,6 for four minions,Gain an edge on strikes,mcdm.monsters.v1/monster.elf-shadow.statblock/shadow-elf-dusk-mage,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/elf-shadow/statblock/shadow-elf-dusk-mage.md
Shadow Elf Nightstrike,4,8,6 for four minions,Gain an edge on strikes,mcdm.monsters.v1/monster.elf-shadow.statblock/shadow-elf-nightstrike,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/elf-shadow/statblock/shadow-elf-nightstrike.md
Shadow Elf Sniper,4,7,6 for four minions,+2 damage bonus to strikes,mcdm.monsters.v1/monster.elf-shadow.statblock/shadow-elf-sniper,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/elf-shadow/statblock/shadow-elf-sniper.md
War Dog Sparkslinger,4,7,6 for four minions,Lightning spread increases by 1 square,mcdm.monsters.v1/monster.war-dog.2nd-echelon.statblock/war-dog-sparkslinger,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/war-dog/2nd-echelon/statblock/war-dog-sparkslinger.md
War Dog Sweeper,4,8,6 for four minions,Gain an edge on strikes,mcdm.monsters.v1/monster.war-dog.2nd-echelon.statblock/war-dog-sweeper,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/war-dog/2nd-echelon/statblock/war-dog-sweeper.md
War Dog War Frog,4,8,6 for four minions,+2 bonus to speed,mcdm.monsters.v1/monster.war-dog.2nd-echelon.statblock/war-dog-war-frog,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/war-dog/2nd-echelon/statblock/war-dog-war-frog.md
Wobalas,4,7,6 for four minions,+2 damage bonus to strikes,mcdm.monsters.v1/monster.demon.2nd-echelon.statblock/wobalas,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/demon/2nd-echelon/statblock/wobalas.md
Bugbear Mob,5,10,7 for four minions,+2 damage bonus to strikes,mcdm.monsters.v1/monster.bugbear.statblock/bugbear-mob,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/bugbear/statblock/bugbear-mob.md
Bugbear Snare,5,9,7 for four minions,+3 bonus to speed,mcdm.monsters.v1/monster.bugbear.statblock/bugbear-snare,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/bugbear/statblock/bugbear-snare.md
Devil Clerk,5,10,7 for four minions,+2 damage bonus to strikes,mcdm.monsters.v1/monster.devil.statblock/devil-clerk,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/devil/statblock/devil-clerk.md
Devil Notary,5,8,7 for four minions,+5 bonus to ranged distance,mcdm.monsters.v1/monster.devil.statblock/devil-notary,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/devil/statblock/devil-notary.md
Devil Scrivener,5,9,7 for four minions,+3 bonus to speed,mcdm.monsters.v1/monster.devil.statblock/devil-scrivener,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/devil/statblock/devil-scrivener.md
Troll Limbjumble,5,8,7 for four minions,Gain an edge on strikes,mcdm.monsters.v1/monster.troll.statblock/troll-limbjumble,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/troll/statblock/troll-limbjumble.md
Troll Whelp,5,10,7 for four minions,+2 damage bonus to strikes,mcdm.monsters.v1/monster.troll.statblock/troll-whelp,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/troll/statblock/troll-whelp.md
Mindkiller Whelp,6,9,8 for four minions,+2 damage bonus to strikes,mcdm.monsters.v1/monster.voiceless-talker.statblock/mindkiller-whelp,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/voiceless-talker/statblock/mindkiller-whelp.md
Voiceless Talker Graywarper,6,9,8 for four minions,+2 bonus to Stamina,mcdm.monsters.v1/monster.voiceless-talker.statblock/voiceless-talker-graywarper,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/voiceless-talker/statblock/voiceless-talker-graywarper.md
Blood-Starved Vampire,7,12,9 for four minions,+3 bonus to speed,mcdm.monsters.v1/monster.undead.3rd-echelon.statblock/blood-starved-vampire,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/undead/3rd-echelon/statblock/blood-starved-vampire.md
Faded Echo Spirit,7,10,9 for four minions,Gain an edge on strikes,mcdm.monsters.v1/monster.undead.3rd-echelon.statblock/faded-echo-spirit,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/undead/3rd-echelon/statblock/faded-echo-spirit.md
Hill Giant Mosstooth,7,13,9 for four minions,+3 damage bonus to strikes,mcdm.monsters.v1/monster.giant.statblock/hill-giant-mosstooth,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/giant/statblock/hill-giant-mosstooth.md
Mummy Rotwrap,7,15,9 for four minions,+3 bonus to melee distance,mcdm.monsters.v1/monster.undead.3rd-echelon.statblock/mummy-rotwrap,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/undead/3rd-echelon/statblock/mummy-rotwrap.md
Ogre Blue Blood,7,13,9 for four minions,Gain an edge on strikes,mcdm.monsters.v1/monster.ogre.statblock/ogre-blue-blood,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/ogre/statblock/ogre-blue-blood.md
Ogre Tantrum,7,10,9 for four minions,+5 bonus to ranged distance,mcdm.monsters.v1/monster.ogre.statblock/ogre-tantrum,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/ogre/statblock/ogre-tantrum.md
Soulraker Scout,7,12,9 for four minions,Gain an edge on strikes,mcdm.monsters.v1/monster.demon.3rd-echelon.statblock/soulraker-scout,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/demon/3rd-echelon/statblock/soulraker-scout.md
Soulraker Soldier,7,13,9 for four minions,Gain an edge on strikes,mcdm.monsters.v1/monster.demon.3rd-echelon.statblock/soulraker-soldier,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/demon/3rd-echelon/statblock/soulraker-soldier.md
Soulraker Stinger,7,10,9 for four minions,Gain an edge on strikes,mcdm.monsters.v1/monster.demon.3rd-echelon.statblock/soulraker-stinger,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/demon/3rd-echelon/statblock/soulraker-stinger.md
War Dog Draconite,7,13,9 for four minions,+3 damage bonus to strikes,mcdm.monsters.v1/monster.war-dog.3rd-echelon.statblock/war-dog-draconite,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/war-dog/3rd-echelon/statblock/war-dog-draconite.md
War Dog Saboteur,7,12,9 for four minions,+5 bonus to ranged distance,mcdm.monsters.v1/monster.war-dog.3rd-echelon.statblock/war-dog-saboteur,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/war-dog/3rd-echelon/statblock/war-dog-saboteur.md
War Dog Shriketroop,7,10,9 for four minions,Gain an edge on strikes,mcdm.monsters.v1/monster.war-dog.3rd-echelon.statblock/war-dog-shriketroop,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/war-dog/3rd-echelon/statblock/war-dog-shriketroop.md
Bugbear Knightmare,8,12,10 for four minions,Gain an edge on strikes,mcdm.monsters.v1/monster.bugbear.statblock/bugbear-knightmare,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/bugbear/statblock/bugbear-knightmare.md
Frost Giant Snowblaster,8,12,10 for four minions,+3 damage bonus to strikes,mcdm.monsters.v1/monster.giant.statblock/frost-giant-snowblaster,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/giant/statblock/frost-giant-snowblaster.md
Minotaur Bully,8,14,10 for four minions,+3 damage bonus to strikes,mcdm.monsters.v1/monster.minotaur.statblock/minotaur-bully,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/minotaur/statblock/minotaur-bully.md
Minotaur Lackey,8,13,10 for four minions,+2 bonus to speed,mcdm.monsters.v1/monster.minotaur.statblock/minotaur-lackey,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/minotaur/statblock/minotaur-lackey.md
Sand Stone Giant,8,14,10 for four minions,+6 bonus to Stamina,mcdm.monsters.v1/monster.giant.statblock/sand-stone-giant,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/giant/statblock/sand-stone-giant.md
Fire Giant Fireballer,9,13,11 for four minions,+3 bonus to speed,mcdm.monsters.v1/monster.giant.statblock/fire-giant-fireballer,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/giant/statblock/fire-giant-fireballer.md
