revision,book,book_path,scc,name,workspace_path,matching_book_lines
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/complication/evanesceria.md,mcdm.heroes.v1/complication/evanesceria,Evanesceria,vendor/steel-compendium/en/unified/md/complication/evanesceria.md,3;14
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/complication/hawk-rider.md,mcdm.heroes.v1/complication/hawk-rider,Hawk Rider,vendor/steel-compendium/en/unified/md/complication/hawk-rider.md,2;12
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/complication/hunted.md,mcdm.heroes.v1/complication/hunted,Hunted,vendor/steel-compendium/en/unified/md/complication/hunted.md,2;12
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/complication/lifebonded.md,mcdm.heroes.v1/complication/lifebonded,Lifebonded,vendor/steel-compendium/en/unified/md/complication/lifebonded.md,2;12
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/complication/loner.md,mcdm.heroes.v1/complication/loner,Loner,vendor/steel-compendium/en/unified/md/complication/loner.md,2;12
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/complication/master-chef.md,mcdm.heroes.v1/complication/master-chef,Master Chef,vendor/steel-compendium/en/unified/md/complication/master-chef.md,2;12
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/complication/preacher.md,mcdm.heroes.v1/complication/preacher,Preacher,vendor/steel-compendium/en/unified/md/complication/preacher.md,2;3;12;14
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/complication/secret-twin.md,mcdm.heroes.v1/complication/secret-twin,Secret Twin,vendor/steel-compendium/en/unified/md/complication/secret-twin.md,3;14
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/complication/siblings-shield.md,mcdm.heroes.v1/complication/siblings-shield,Sibling's Shield,vendor/steel-compendium/en/unified/md/complication/siblings-shield.md,3;14
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/complication/vampire-scion.md,mcdm.heroes.v1/complication/vampire-scion,Vampire Scion,vendor/steel-compendium/en/unified/md/complication/vampire-scion.md,2;12
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/complication/voice-in-your-head.md,mcdm.heroes.v1/complication/voice-in-your-head,Voice in Your Head,vendor/steel-compendium/en/unified/md/complication/voice-in-your-head.md,3;14
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/complication/waking-dreams.md,mcdm.heroes.v1/complication/waking-dreams,Waking Dreams,vendor/steel-compendium/en/unified/md/complication/waking-dreams.md,3;4;10;14
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/complication/ward.md,mcdm.heroes.v1/complication/ward,Ward,vendor/steel-compendium/en/unified/md/complication/ward.md,3;14
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/ability/talent/level-8/doubt.md,mcdm.heroes.v1/feature.ability.talent.level-8/doubt,Doubt,vendor/steel-compendium/en/unified/md/feature/ability/talent/level-8/doubt.md,13;47
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/censor/level-1/blessing-of-fortunate-weather.md,mcdm.heroes.v1/feature.censor.level-1/blessing-of-fortunate-weather,Blessing of Fortunate Weather,vendor/steel-compendium/en/unified/md/feature/censor/level-1/blessing-of-fortunate-weather.md,10
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/censor/level-1/inner-light.md,mcdm.heroes.v1/feature.censor.level-1/inner-light,Inner Light,vendor/steel-compendium/en/unified/md/feature/censor/level-1/inner-light.md,10
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/censor/level-1/oracular-visions.md,mcdm.heroes.v1/feature.censor.level-1/oracular-visions,Oracular Visions,vendor/steel-compendium/en/unified/md/feature/censor/level-1/oracular-visions.md,10
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/censor/level-1/revitalizing-ritual.md,mcdm.heroes.v1/feature.censor.level-1/revitalizing-ritual,Revitalizing Ritual,vendor/steel-compendium/en/unified/md/feature/censor/level-1/revitalizing-ritual.md,10
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/censor/level-1/sanctified-weapon.md,mcdm.heroes.v1/feature.censor.level-1/sanctified-weapon,Sanctified Weapon,vendor/steel-compendium/en/unified/md/feature/censor/level-1/sanctified-weapon.md,10
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/censor/level-1/wrath.md,mcdm.heroes.v1/feature.censor.level-1/wrath,Wrath,vendor/steel-compendium/en/unified/md/feature/censor/level-1/wrath.md,21
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/censor/level-10/templar.md,mcdm.heroes.v1/feature.censor.level-10/templar,Templar,vendor/steel-compendium/en/unified/md/feature/censor/level-10/templar.md,11
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/censor/level-10/virtue.md,mcdm.heroes.v1/feature.censor.level-10/virtue,Virtue,vendor/steel-compendium/en/unified/md/feature/censor/level-10/virtue.md,9;11
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/censor/level-4/oracular-warning.md,mcdm.heroes.v1/feature.censor.level-4/oracular-warning,Oracular Warning,vendor/steel-compendium/en/unified/md/feature/censor/level-4/oracular-warning.md,10
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/censor/level-4/saints-epiphany.md,mcdm.heroes.v1/feature.censor.level-4/saints-epiphany,Saint's Epiphany,vendor/steel-compendium/en/unified/md/feature/censor/level-4/saints-epiphany.md,10
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/censor/level-4/seance.md,mcdm.heroes.v1/feature.censor.level-4/seance,Seance,vendor/steel-compendium/en/unified/md/feature/censor/level-4/seance.md,10
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/censor/level-5/prophecy.md,mcdm.heroes.v1/feature.censor.level-5/prophecy,Prophecy,vendor/steel-compendium/en/unified/md/feature/censor/level-5/prophecy.md,12
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/censor/level-6/implement-of-wrath.md,mcdm.heroes.v1/feature.censor.level-6/implement-of-wrath,Implement of Wrath,vendor/steel-compendium/en/unified/md/feature/censor/level-6/implement-of-wrath.md,9
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/censor/level-7/divine-quartermaster.md,mcdm.heroes.v1/feature.censor.level-7/divine-quartermaster,Divine Quartermaster,vendor/steel-compendium/en/unified/md/feature/censor/level-7/divine-quartermaster.md,10
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/censor/level-7/natures-bounty.md,mcdm.heroes.v1/feature.censor.level-7/natures-bounty,Nature's Bounty,vendor/steel-compendium/en/unified/md/feature/censor/level-7/natures-bounty.md,10;18
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/censor/level-7/your-triumphs-are-remembered.md,mcdm.heroes.v1/feature.censor.level-7/your-triumphs-are-remembered,Your Triumphs Are Remembered,vendor/steel-compendium/en/unified/md/feature/censor/level-7/your-triumphs-are-remembered.md,10
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/conduit/level-1/blessing-of-fortunate-weather.md,mcdm.heroes.v1/feature.conduit.level-1/blessing-of-fortunate-weather,Blessing of Fortunate Weather,vendor/steel-compendium/en/unified/md/feature/conduit/level-1/blessing-of-fortunate-weather.md,10
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/conduit/level-1/conduit-ward.md,mcdm.heroes.v1/feature.conduit.level-1/conduit-ward,Conduit Ward,vendor/steel-compendium/en/unified/md/feature/conduit/level-1/conduit-ward.md,9
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/conduit/level-1/inner-light.md,mcdm.heroes.v1/feature.conduit.level-1/inner-light,Inner Light,vendor/steel-compendium/en/unified/md/feature/conduit/level-1/inner-light.md,10
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/conduit/level-1/oracular-visions.md,mcdm.heroes.v1/feature.conduit.level-1/oracular-visions,Oracular Visions,vendor/steel-compendium/en/unified/md/feature/conduit/level-1/oracular-visions.md,10
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/conduit/level-1/piety.md,mcdm.heroes.v1/feature.conduit.level-1/piety,Piety,vendor/steel-compendium/en/unified/md/feature/conduit/level-1/piety.md,25
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/conduit/level-1/prayer.md,mcdm.heroes.v1/feature.conduit.level-1/prayer,Prayer,vendor/steel-compendium/en/unified/md/feature/conduit/level-1/prayer.md,9
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/conduit/level-1/revitalizing-ritual.md,mcdm.heroes.v1/feature.conduit.level-1/revitalizing-ritual,Revitalizing Ritual,vendor/steel-compendium/en/unified/md/feature/conduit/level-1/revitalizing-ritual.md,10
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/conduit/level-1/sanctified-weapon.md,mcdm.heroes.v1/feature.conduit.level-1/sanctified-weapon,Sanctified Weapon,vendor/steel-compendium/en/unified/md/feature/conduit/level-1/sanctified-weapon.md,10
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/conduit/level-10/avatar.md,mcdm.heroes.v1/feature.conduit.level-10/avatar,Avatar,vendor/steel-compendium/en/unified/md/feature/conduit/level-10/avatar.md,9;11
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/conduit/level-10/divine-power.md,mcdm.heroes.v1/feature.conduit.level-10/divine-power,Divine Power,vendor/steel-compendium/en/unified/md/feature/conduit/level-10/divine-power.md,9
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/conduit/level-3/minor-miracle.md,mcdm.heroes.v1/feature.conduit.level-3/minor-miracle,Minor Miracle,vendor/steel-compendium/en/unified/md/feature/conduit/level-3/minor-miracle.md,9;11
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/conduit/level-4/4th-level-domain-feature.md,mcdm.heroes.v1/feature.conduit.level-4/4th-level-domain-feature,4th-Level Domain Feature,vendor/steel-compendium/en/unified/md/feature/conduit/level-4/4th-level-domain-feature.md,60;64;68
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/conduit/level-7/divine-quartermaster.md,mcdm.heroes.v1/feature.conduit.level-7/divine-quartermaster,Divine Quartermaster,vendor/steel-compendium/en/unified/md/feature/conduit/level-7/divine-quartermaster.md,10
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/conduit/level-7/natures-bounty.md,mcdm.heroes.v1/feature.conduit.level-7/natures-bounty,Nature's Bounty,vendor/steel-compendium/en/unified/md/feature/conduit/level-7/natures-bounty.md,10;18
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/conduit/level-7/your-triumphs-are-remembered.md,mcdm.heroes.v1/feature.conduit.level-7/your-triumphs-are-remembered,Your Triumphs Are Remembered,vendor/steel-compendium/en/unified/md/feature/conduit/level-7/your-triumphs-are-remembered.md,10
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/conduit/level-9/faiths-sword.md,mcdm.heroes.v1/feature.conduit.level-9/faiths-sword,Faith's Sword,vendor/steel-compendium/en/unified/md/feature/conduit/level-9/faiths-sword.md,9
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/elementalist/level-1/elementalist-ward.md,mcdm.heroes.v1/feature.elementalist.level-1/elementalist-ward,Elementalist Ward,vendor/steel-compendium/en/unified/md/feature/elementalist/level-1/elementalist-ward.md,9
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/elementalist/level-1/enchantment.md,mcdm.heroes.v1/feature.elementalist.level-1/enchantment,Enchantment,vendor/steel-compendium/en/unified/md/feature/elementalist/level-1/enchantment.md,9
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/elementalist/level-1/essence.md,mcdm.heroes.v1/feature.elementalist.level-1/essence,Essence,vendor/steel-compendium/en/unified/md/feature/elementalist/level-1/essence.md,21
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/elementalist/level-10/breath.md,mcdm.heroes.v1/feature.elementalist.level-10/breath,Breath,vendor/steel-compendium/en/unified/md/feature/elementalist/level-10/breath.md,9
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/elementalist/level-10/master-of-earth.md,mcdm.heroes.v1/feature.elementalist.level-10/master-of-earth,Master of Earth,vendor/steel-compendium/en/unified/md/feature/elementalist/level-10/master-of-earth.md,12
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/elementalist/level-10/master-of-green.md,mcdm.heroes.v1/feature.elementalist.level-10/master-of-green,Master of Green,vendor/steel-compendium/en/unified/md/feature/elementalist/level-10/master-of-green.md,10;12
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/elementalist/level-10/master-of-void.md,mcdm.heroes.v1/feature.elementalist.level-10/master-of-void,Master of Void,vendor/steel-compendium/en/unified/md/feature/elementalist/level-10/master-of-void.md,12
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/elementalist/level-3/distance-is-only-memory.md,mcdm.heroes.v1/feature.elementalist.level-3/distance-is-only-memory,Distance Is Only Memory,vendor/steel-compendium/en/unified/md/feature/elementalist/level-3/distance-is-only-memory.md,10
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/fury/level-1/ferocity.md,mcdm.heroes.v1/feature.fury.level-1/ferocity,Ferocity,vendor/steel-compendium/en/unified/md/feature/fury/level-1/ferocity.md,25
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/fury/level-10/primordial-power.md,mcdm.heroes.v1/feature.fury.level-10/primordial-power,Primordial Power,vendor/steel-compendium/en/unified/md/feature/fury/level-10/primordial-power.md,9
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/fury/level-8/menagerie.md,mcdm.heroes.v1/feature.fury.level-8/menagerie,Menagerie,vendor/steel-compendium/en/unified/md/feature/fury/level-8/menagerie.md,10
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/fury/level-9/harbinger-of-the-primordial-chaos.md,mcdm.heroes.v1/feature.fury.level-9/harbinger-of-the-primordial-chaos,Harbinger of the Primordial Chaos,vendor/steel-compendium/en/unified/md/feature/fury/level-9/harbinger-of-the-primordial-chaos.md,9
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/null/level-1/discipline.md,mcdm.heroes.v1/feature.null.level-1/discipline,Discipline,vendor/steel-compendium/en/unified/md/feature/null/level-1/discipline.md,21
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/null/level-1/psionic-augmentation.md,mcdm.heroes.v1/feature.null.level-1/psionic-augmentation,Psionic Augmentation,vendor/steel-compendium/en/unified/md/feature/null/level-1/psionic-augmentation.md,9
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/null/level-10/manifold-resonance.md,mcdm.heroes.v1/feature.null.level-10/manifold-resonance,Manifold Resonance,vendor/steel-compendium/en/unified/md/feature/null/level-10/manifold-resonance.md,9
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/null/level-10/order.md,mcdm.heroes.v1/feature.null.level-10/order,Order,vendor/steel-compendium/en/unified/md/feature/null/level-10/order.md,9
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/null/level-2/rapid-processing.md,mcdm.heroes.v1/feature.null.level-2/rapid-processing,Rapid Processing,vendor/steel-compendium/en/unified/md/feature/null/level-2/rapid-processing.md,10
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/shadow/level-1/insight.md,mcdm.heroes.v1/feature.shadow.level-1/insight,Insight,vendor/steel-compendium/en/unified/md/feature/shadow/level-1/insight.md,23
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/shadow/level-10/subterfuge.md,mcdm.heroes.v1/feature.shadow.level-10/subterfuge,Subterfuge,vendor/steel-compendium/en/unified/md/feature/shadow/level-10/subterfuge.md,9
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/tactician/level-1/field-arsenal.md,mcdm.heroes.v1/feature.tactician.level-1/field-arsenal,Field Arsenal,vendor/steel-compendium/en/unified/md/feature/tactician/level-1/field-arsenal.md,11
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/tactician/level-1/focus.md,mcdm.heroes.v1/feature.tactician.level-1/focus,Focus,vendor/steel-compendium/en/unified/md/feature/tactician/level-1/focus.md,21
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/tactician/level-1/studied-commander.md,mcdm.heroes.v1/feature.tactician.level-1/studied-commander,Studied Commander,vendor/steel-compendium/en/unified/md/feature/tactician/level-1/studied-commander.md,10;12
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/tactician/level-10/command.md,mcdm.heroes.v1/feature.tactician.level-10/command,Command,vendor/steel-compendium/en/unified/md/feature/tactician/level-10/command.md,9
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/tactician/level-7/grand-strategy.md,mcdm.heroes.v1/feature.tactician.level-7/grand-strategy,Grand Strategy,vendor/steel-compendium/en/unified/md/feature/tactician/level-7/grand-strategy.md,10
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/tactician/level-7/shock-and-awe.md,mcdm.heroes.v1/feature.tactician.level-7/shock-and-awe,Shock and Awe,vendor/steel-compendium/en/unified/md/feature/tactician/level-7/shock-and-awe.md,10
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/talent/level-1/clarity-and-strain.md,mcdm.heroes.v1/feature.talent.level-1/clarity-and-strain,Clarity and Strain,vendor/steel-compendium/en/unified/md/feature/talent/level-1/clarity-and-strain.md,25
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/talent/level-1/psionic-augmentation.md,mcdm.heroes.v1/feature.talent.level-1/psionic-augmentation,Psionic Augmentation,vendor/steel-compendium/en/unified/md/feature/talent/level-1/psionic-augmentation.md,9
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/talent/level-1/talent-ward.md,mcdm.heroes.v1/feature.talent.level-1/talent-ward,Talent Ward,vendor/steel-compendium/en/unified/md/feature/talent/level-1/talent-ward.md,9
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/talent/level-10/vision.md,mcdm.heroes.v1/feature.talent.level-10/vision,Vision,vendor/steel-compendium/en/unified/md/feature/talent/level-10/vision.md,9
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/talent/level-7/ancestral-memory.md,mcdm.heroes.v1/feature.talent.level-7/ancestral-memory,Ancestral Memory,vendor/steel-compendium/en/unified/md/feature/talent/level-7/ancestral-memory.md,9
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/talent/level-8/doubling-the-hours.md,mcdm.heroes.v1/feature.talent.level-8/doubling-the-hours,Doubling the Hours,vendor/steel-compendium/en/unified/md/feature/talent/level-8/doubling-the-hours.md,10
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/talent/level-8/mindlink.md,mcdm.heroes.v1/feature.talent.level-8/mindlink,Mindlink,vendor/steel-compendium/en/unified/md/feature/talent/level-8/mindlink.md,10
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/trait/dragon-knight/wyrmplate.md,mcdm.heroes.v1/feature.trait.dragon-knight/wyrmplate,'Signature Trait: Wyrmplate',vendor/steel-compendium/en/unified/md/feature/trait/dragon-knight/wyrmplate.md,8
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/troubadour/level-1/drama.md,mcdm.heroes.v1/feature.troubadour.level-1/drama,Drama,vendor/steel-compendium/en/unified/md/feature/troubadour/level-1/drama.md,28
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/troubadour/level-10/applause.md,mcdm.heroes.v1/feature.troubadour.level-10/applause,Applause,vendor/steel-compendium/en/unified/md/feature/troubadour/level-10/applause.md,9
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/troubadour/level-10/greatest-of-all-time.md,mcdm.heroes.v1/feature.troubadour.level-10/greatest-of-all-time,Greatest of All Time,vendor/steel-compendium/en/unified/md/feature/troubadour/level-10/greatest-of-all-time.md,9
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/troubadour/level-2/formal-introductions.md,mcdm.heroes.v1/feature.troubadour.level-2/formal-introductions,Formal Introductions,vendor/steel-compendium/en/unified/md/feature/troubadour/level-2/formal-introductions.md,9
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/troubadour/level-4/hear-ye-hear-ye.md,mcdm.heroes.v1/feature.troubadour.level-4/hear-ye-hear-ye,"Hear Ye, Hear Ye!",vendor/steel-compendium/en/unified/md/feature/troubadour/level-4/hear-ye-hear-ye.md,13
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/troubadour/level-4/latest-goss.md,mcdm.heroes.v1/feature.troubadour.level-4/latest-goss,Latest Goss,vendor/steel-compendium/en/unified/md/feature/troubadour/level-4/latest-goss.md,9
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/feature/troubadour/level-4/zeitgeist.md,mcdm.heroes.v1/feature.troubadour.level-4/zeitgeist,Zeitgeist,vendor/steel-compendium/en/unified/md/feature/troubadour/level-4/zeitgeist.md,9
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/perk/criminal-contacts.md,mcdm.heroes.v1/perk/criminal-contacts,Criminal Contacts,vendor/steel-compendium/en/unified/md/perk/criminal-contacts.md,2;8
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/perk/eidetic-memory.md,mcdm.heroes.v1/perk/eidetic-memory,Eidetic Memory,vendor/steel-compendium/en/unified/md/perk/eidetic-memory.md,2;8
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/perk/familiar.md,mcdm.heroes.v1/perk/familiar,Familiar,vendor/steel-compendium/en/unified/md/perk/familiar.md,14
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/perk/inspired-artisan.md,mcdm.heroes.v1/perk/inspired-artisan,Inspired Artisan,vendor/steel-compendium/en/unified/md/perk/inspired-artisan.md,2;8
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/perk/thingspeaker.md,mcdm.heroes.v1/perk/thingspeaker,Thingspeaker,vendor/steel-compendium/en/unified/md/perk/thingspeaker.md,14
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/perk/traveling-artisan.md,mcdm.heroes.v1/perk/traveling-artisan,Traveling Artisan,vendor/steel-compendium/en/unified/md/perk/traveling-artisan.md,2;8
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/perk/traveling-sage.md,mcdm.heroes.v1/perk/traveling-sage,Traveling Sage,vendor/steel-compendium/en/unified/md/perk/traveling-sage.md,2;8
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/project/build-airship.md,mcdm.heroes.v1/project/build-airship,Build Airship,vendor/steel-compendium/en/unified/md/project/build-airship.md,23
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/project/community-service.md,mcdm.heroes.v1/project/community-service,Community Service,vendor/steel-compendium/en/unified/md/project/community-service.md,33;35
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/project/craft-teleportation-platform.md,mcdm.heroes.v1/project/craft-teleportation-platform,Craft Teleportation Platform,vendor/steel-compendium/en/unified/md/project/craft-teleportation-platform.md,19;21
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/project/fishing.md,mcdm.heroes.v1/project/fishing,Fishing,vendor/steel-compendium/en/unified/md/project/fishing.md,22;24;30;31;43;45;48
fb83a789da8f0327a389c277a0c790b1648d5810,heroes,en/books/heroes/md/project/hone-career-skills.md,mcdm.heroes.v1/project/hone-career-skills,Hone Career Skills,vendor/steel-compendium/en/unified/md/project/hone-career-skills.md,26
